Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,9,Accidente,23807,23,Camino,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2008,9,Accidente,76275,76,,Rural,1,3.3213339,-76.235361,"Florida, Florida, Valle del Cauca, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,9,Accidente,23807,23,Cerros,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,META,URIBE,URIBE,2008,9,Accidente,50370,50,,Rural,1,3.239241,-74.350661,"La Uribe, La Uribe, Meta, Colombia"
Accidente por MAP,NARIÑO,RICAURTE,RICAURTE,2008,2,Accidente,52612,52,,Rural,1,1.213605,-77.996673,"Ricaurte, Ricaurte, Narino, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,8,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,4,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,CAQUETA,PUERTO RICO,LA AGUILILLA,2008,7,Accidente,18592,18,,Rural,1,1.909918,-75.157235,"Puerto Rico, Puerto Rico, Caquetá, Colombia"
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2008,2,Accidente,23580,23,,Rural,1,7.887952,-75.670944,"Puerto Libertador, Puerto Libertador, Cordoba, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,2,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2008,6,Accidente,95001,95,,Rural,1,2.568549,-72.6417265,"San José del Guaviare, San José Del Guaviare, Guaviare, Colombia"
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2008,4,Accidente,50711,50,,Rural,1,3.127883,-73.752512,"Vista Hermosa, Vistahermosa, Meta, Colombia"
Accidente por MAP,ANTIOQUIA,VALDIVIA,PUERTO VALDIVIA,2008,10,Accidente,5854,5,,Rural,1,7.29117,-75.39215,"Valdivia, Valdivia, Antioquia, Colombia"
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2008,4,Accidente,86568,86,,Rural,1,0.504929,-76.500191,"Puerto Asís, Puerto Asís, Putumayo, Colombia"
Accidente por MAP,NARIÑO,IPIALES,IPIALES,2008,10,Accidente,52356,52,,Rural,1,0.825542,-77.639504,"Ipiales, Ipiales, Narino, Colombia"
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2008,10,Accidente,5854,5,,Rural,1,7.29117,-75.39215,"Valdivia, Valdivia, Antioquia, Colombia"
Accidente por MAP,ANTIOQUIA,ITUANGO,El Peñol,2009,1,Accidente,5361,5,Carreteras,Rural,1,7.172607,-75.76468,"Ituango, Ituango, Antioquia, Colombia"
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,TIBÚ,2008,11,Accidente,54810,54,,Rural,1,8.642356,-72.737733,"Tibú, Tibú, North Santander, Colombia"
Accidente por MAP,BOLIVAR,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,2000,1,Accidente,13688,13,,Rural,1,7.9629547,-74.0520439,"Santa Rosa del Sur, Santa Rosa Del Sur, Bolivar, Colombia"
Accidente por MAP,ANTIOQUIA,SAN LUIS,SAN LUIS,2004,10,Accidente,5660,5,,Rural,1,6.042454,-74.995071,"San Luis, San Luís, Antioquia, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,CHUGULDÍ (CHUPÍN),2007,6,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
