Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
2003-05-27,Quema de Vehículos,27,5,2003,Caldas,Riosucio,Vía Quinchía - Riosucio,Medios de Transporte,Guerrilla,Guerrilla-EPL,,, Noche y Niebla # 27 Pp. 242,5.4206839,-75.705388,"Riosucio, Riosucio, Caldas, Colombia"
2003-07-18,Ataque a Propiedad,18,7,2003,Chocó,Riosucio,,Mercancias u objetos materiales,Fuerza Pública,Ejército Nacional,,, Noche y Niebla # 28 Pp. 53,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2010-12-12,Ataque a Propiedad,12,12,2010,Chocó,Riosucio,,Mercancias u objetos materiales,Fuerza Pública,Ejército Nacional,,, Noche y Niebla # 42 Pp. 151,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2011-01-20,Bombardeo,20,1,2011,Chocó,Riosucio,"Comunidades Indígenas Río Salaquí, Unión Embera Katio y Barranco",Vivienda/Cultivo,Fuerza Pública,Ejército Nacional,,,,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2011-04-17,Acciones Bélicas,17,4,2011,Chocó,Riosucio,Río Quiparadó,,Fuerza Pública,Ejército Nacional,,,,7.438388,-77.115176,"Riosucio, Riosucio, Choco, Colombia"
2009-01-13,Acciones Bélicas,13,1,2009,Nariño,Roberto Payán,Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-FARC,,,Banco de Datos de Derechos Humanos y Violencia Política del CINEP,1.9088225,-78.3387066,"Roberto Payan, Nariño, Colombia"
2000-07-14,Acciones Bélicas-Ataque a Instituciones,14,7,2000,Tolima,Roncesvalles,Cabecera Municipal,Entidades Públicas/Vivienda/Establecimiento Comercial,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 17 Pp. 71,4.0107799,-75.606632,"Roncesvalles, Tolima, Colombia"
2010-11-19,Atentado Terrorista,19,11,2010,Tolima,Roncesvalles,Cabecera Municipal-Hotel central,Establecimiento comercial,Guerrilla,Guerrilla-FARC,,,Banco de Datos de Derechos Humanos y Violencia Política del CINEP,4.0107799,-75.606632,"Roncesvalles, Tolima, Colombia"
1998-01-27,Acciones Bélicas-Ataque a Instituciones,27,1,1998,Boyacá,Rondón,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-FARC,,,,5.3570209,-73.208421,"Rondón, Rondón, Boyacá, Colombia"
1988-10-27,Quema de Vehículos,27,10,1988,Cauca,Rosas,,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 42",2.261858,-76.7406139,"Rosas, Rosas, Cauca, Colombia"
